LeaderID,FamilyMemberRelationship,FamilyMemberName,FamilyMemberSex,FamilyMemberBirthString,FamilyMemberCurrentOrganization,FamilyMemberCurrentPosition,FamilyMemberDeathReported,FamilyString_2015
김정일,조카,장금송,여성,연도미상,,,사망,처: 김영숙(47년생)
김정일,조카,장금송,여성,연도미상,,,사망,친동생: 김경희(46년생)
김정일,이복형제,김경진,여성,1952,,,,"설송(74년생, 여) / 김영숙(47년생)"
김정일,이복형제,김경진,여성,1952,,,,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,이복형제,김경진,여성,1952,,,,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,이복형제,김경진,여성,1952,,,,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,이복형제,김경진,여성,1952,,,,처: 김영숙(47년생)
김정일,이복형제,김경진,여성,1952,,,,친동생: 김경희(46년생)
김정일,이복형제,김평일,남성,1954.08.10,,,,"설송(74년생, 여) / 김영숙(47년생)"
김정일,이복형제,김평일,남성,1954.08.10,,,,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,이복형제,김평일,남성,1954.08.10,,,,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,이복형제,김평일,남성,1954.08.10,,,,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,이복형제,김평일,남성,1954.08.10,,,,처: 김영숙(47년생)
김정일,이복형제,김평일,남성,1954.08.10,,,,친동생: 김경희(46년생)
김정일,모,김정숙,여성,1917,,,사망,"설송(74년생, 여) / 김영숙(47년생)"
김정일,모,김정숙,여성,1917,,,사망,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,모,김정숙,여성,1917,,,사망,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,모,김정숙,여성,1917,,,사망,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,모,김정숙,여성,1917,,,사망,처: 김영숙(47년생)
김정일,모,김정숙,여성,1917,,,사망,친동생: 김경희(46년생)
김중린,자,김명신,남성,1960,,,,
김중린,자,김명희,여성,1962,,,,
김중린,자,김명옥,여성,1964,,,,
김평일,부,김일성,남성,1912.04.15,국가,주석,사망,모(母): 김성애(24년생)
김평일,부,김일성,남성,1912.04.15,국가,주석,사망,"부(父): 김일성(前 국가주석, ’94.7월 사망)"
김평일,부,김일성,남성,1912.04.15,국가,주석,사망,"이복남매: 김정일(前 당 총비서, ’11.12월 사망), 김경희(46년생)"
김평일,부,김일성,남성,1912.04.15,국가,주석,사망,"친남매: 김경진(52년생), 김영일(55년생, ’00년 사망)"
김평일,모,김성애,여성,1924.12.29,조선사회주의여성동맹,중앙위원회 위원장,,모(母): 김성애(24년생)
김평일,모,김성애,여성,1924.12.29,조선사회주의여성동맹,중앙위원회 위원장,,"부(父): 김일성(前 국가주석, ’94.7월 사망)"
김평일,모,김성애,여성,1924.12.29,조선사회주의여성동맹,중앙위원회 위원장,,"이복남매: 김정일(前 당 총비서, ’11.12월 사망), 김경희(46년생)"
김평일,모,김성애,여성,1924.12.29,조선사회주의여성동맹,중앙위원회 위원장,,"친남매: 김경진(52년생), 김영일(55년생, ’00년 사망)"
김평일,누나,김경진,여성,1952,,,,모(母): 김성애(24년생)
김평일,누나,김경진,여성,1952,,,,"부(父): 김일성(前 국가주석, ’94.7월 사망)"
김평일,누나,김경진,여성,1952,,,,"이복남매: 김정일(前 당 총비서, ’11.12월 사망), 김경희(46년생)"
김평일,누나,김경진,여성,1952,,,,"친남매: 김경진(52년생), 김영일(55년생, ’00년 사망)"
김평일,이복형제,김정일,남성,1942.02.16,조선노동당,총비서,사망,모(母): 김성애(24년생)
김평일,이복형제,김정일,남성,1942.02.16,조선노동당,총비서,사망,"부(父): 김일성(前 국가주석, ’94.7월 사망)"
김평일,이복형제,김정일,남성,1942.02.16,조선노동당,총비서,사망,"이복남매: 김정일(前 당 총비서, ’11.12월 사망), 김경희(46년생)"
김평일,이복형제,김정일,남성,1942.02.16,조선노동당,총비서,사망,"친남매: 김경진(52년생), 김영일(55년생, ’00년 사망)"
김평일,이복남매,김경희,여성,1946.05.30,,,,모(母): 김성애(24년생)
김평일,이복남매,김경희,여성,1946.05.30,,,,"부(父): 김일성(前 국가주석, ’94.7월 사망)"
김평일,이복남매,김경희,여성,1946.05.30,,,,"이복남매: 김정일(前 당 총비서, ’11.12월 사망), 김경희(46년생)"
김평일,이복남매,김경희,여성,1946.05.30,,,,"친남매: 김경진(52년생), 김영일(55년생, ’00년 사망)"
김평일,동생,김영일,미상,1955,,,사망,모(母): 김성애(24년생)
김평일,동생,김영일,미상,1955,,,사망,"부(父): 김일성(前 국가주석, ’94.7월 사망)"
김평일,동생,김영일,미상,1955,,,사망,"이복남매: 김정일(前 당 총비서, ’11.12월 사망), 김경희(46년생)"
김평일,동생,김영일,미상,1955,,,사망,"친남매: 김경진(52년생), 김영일(55년생, ’00년 사망)"
류미영,남편,최덕신,남성,연도미상,,,사망,"남편: 최덕신(前 외무부장관, 사망)"
리명산,장인,김영주,남성,연도미상,,,,장인 : 김영주(최고인민회의 상임위 명예부위원장)
리설주,남편,김정은,남성,연도미상,조선노동당,총비서,,
리성호,장인,김영춘,남성,1936.03.04,당 중앙위원회,위원,,
리용무,처,김정순,여성,연도미상,,,,처: 김정순(김일성의 사촌 여동생)
리용철b,백부,이화영,남성,연도미상,,,사망,부(父): 리화선(前 당 조직지도부 부부장)
리용철b,부,리화선,남성,연도미상,,,사망,부(父): 리화선(前 당 조직지도부 부부장)
리용호,부,이명제,남성,연도미상,,,,"부(父): 리명제(前 당 조직지도부 부부장, 사망)"
리을설,사위,박명국,남성,연도미상,외무성,부상,,
리종옥,자,이만호,남성,연도미상,,,,
리종혁,부,이기영,남성,연도미상,,,사망,"부(父): 리기영(前 문예총 위원장, 월북 작가, ’84.8 사망)"
리종혁,형,이평,남성,연도미상,,,,"부(父): 리기영(前 문예총 위원장, 월북 작가, ’84.8 사망)"
리종혁,부,리기영,남성,연도미상,,,사망,"부(父): 리기영(前 문예총 위원장, 월북 작가, ’84.8 사망)"
리하일,사위,박근광,남성,연도미상,,,,
문재철,장인,박성철,남성,연도미상,,,,"장인: 박성철(前 부주석, 사망)"
박명국,장인,이을설,남성,1921,인민군,공화국 원수,,장인: 리을설(인민군 원수)
박명국,장인,이을설,남성,1921,인민군,공화국 원수,,"처: 리춘희(1955년생, 리을설의 4녀)"
박명국,처,이춘희,여성,1955,,,,장인: 리을설(인민군 원수)
박명국,처,이춘희,여성,1955,,,,"처: 리춘희(1955년생, 리을설의 4녀)"
박명선,오빠,박명철,남성,1941.09.15,,,,오빠: 박명철(체육상)
박명철a,동생,박명선,여성,1943.06.15,당 중앙위원회,후보위원,,동생: 박명선(인민봉사총국 총국장)
박성철a,형,김일,남성,1910.03.20,당 정치국,상무위원,사망,"김일성의 종매부 형: 김일(前 국가부주석, 사망)"
박성철a,자,박춘식,남성,연도미상,,,,"김일성의 종매부 형: 김일(前 국가부주석, 사망)"
박성철a,자,박춘보,남성,연도미상,,,,"김일성의 종매부 형: 김일(前 국가부주석, 사망)"
박성철a,자,박춘원,남성,연도미상,,,,"김일성의 종매부 형: 김일(前 국가부주석, 사망)"
박성철a,처,김경하,여성,연도미상,,,,"김일성의 종매부 형: 김일(前 국가부주석, 사망)"
