669;김유호;2356;최고인민회의 제12기 대의원
670;김윤심;NULL;인민군 대장
671;김인호;NULL;조국통일범민족청년학생연합 북측본부 의장, 조국통일범민족연합 북측본부 부의장
672;김정기;NULL;무역성 참사
673;김정호;NULL;前 조선문학예술총동맹 중앙위원장
674;김종태;NULL;前 평안남도 인민위원회 위원장
675;김중협;NULL;최고인민회의 제12기 대의원, 前 노동신문 책임주필
676;김진범;NULL;조선대외문화연락위원회 부위원장, 조선적십자회 중앙위 부위원장, 북-쿠바 단결위원회 부위원장, 세계인민들과의 연대성 조선위원회 부위원장, 조선민주법률가협회 부위원장, 조선반핵평화위원회 위원장, 조선평화옹호전국민족위원회 부위원장, 조선도시연맹 부위원장
677;김진성;NULL;前 문화상
678;김창룡;NULL;조선자연보호연맹 중앙위원회 위원장
679;김풍기;NULL;최고인민회의 제12기 대의원, 前 함경남도 인민위원회 위원장
680;김현주;NULL;前 나선시 당위원회 책임비서
681;문재덕;NULL;前 체육지도위원회 위원장
682;박경삼;NULL;최고인민회의 제12기 대의원, 前 평안북도 인민위원회 위원장
683;박경철;NULL;민족화해협의회 부회장, 조국평화통일위원회 서기국 부국장
684;박남칠;NULL;前 전력공업상
685;박동춘;NULL;前 쿠바 주재 대사
686;박명국;NULL;前 호주 주재 대사관 공사
687;박송남;NULL;최고인민회의 제12기 대의원, 前 국토환경보호상
688;박순희;NULL;최고인민회의 제12기 대의원, 前 ?여맹? 중앙위 위원장
689;박용일;NULL;조선적십자회 중앙위원회 위원, 조선아시아태평양평화위원회 참사, 조국평화통일위원회 서기국 참사
690;박정성;NULL;철도성 대외철도협력국 국장
691;박진식;NULL;평양출판사 사장, 최고인민회의 제12기 대의원
692;박창련;NULL;국가계획위원회 제1부위원장, 민족경제협력연합회 부회장
693;박학선;NULL;최고인민회의 제12기 대의원, 前 체육지도위원회 위원장
694;박호영;NULL;국토환경보호성 부상
695;방강수;NULL;민족경제협력위원회 정책국장
696;방종삼;NULL;무역성 부국장
697;방철갑;NULL;前 당 중앙위원회 후보위원 및 검열위원회 위원
698;백룡천;NULL;중앙은행 총재, 당 중앙위 후보위원
699;백현봉;NULL;조선국제합영총회사 부이사장, 조선대외경제협력추진위원회 위원장
700;석군수;NULL;前 임업상
701;송석환;NULL;문화성 부상, 「문예총」 중앙위 부위원장, 「범민련」 북측본부 부의장
702;송일호;NULL;외무성 북-일국교정상화 담당대사
703;신병철;NULL;조선사회민주당 중앙위 부위원장, 내각 참사, 조국통일연구원 부원장
704;신일남;NULL;인민보안부 부부장, 인민군 상장
705;오광철;NULL;조선무역은행 총재, 최고인민회의 제12기 대의원, 국가재정금융위원회 부위원장
706;오길방;NULL;김일성종합대학 부총장
