MOUID,KoreanName,CareerStringID,CareerString,CareerStartYear,CareerStartMonth,EventType,JointAppointment,Org1,Org2,Org3,Org4,Org5,Position,OrgLevel,PositionLevel,OrgPositionString
616,전재선,2731,"1985. 인민군 5군단장, 인민군 상장",1985,NULL,1,Joint,"인민군 총참모부",5군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_5군단_NA_NA_군단장"
616,전재선,2733,"1991.10 인민군 총참모부 부총참모장",1991,10,1,NULL,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
616,전재선,2734,"1994. 2 인민군 1군단장",1994,2,1,NULL,"인민군 총참모부",1군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_1군단_NA_NA_군단장"
623,정호균,2784,"1994.10 인민군 제9군단장",1994,10,1,NULL,"인민군 총참모부",9군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_9군단_NA_NA_군단장"
623,정호균,2785,"1999. 1 인민군 포병사령부 사령관",1999,1,1,NULL,"인민군 총참모부",포병사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_포병사령부_NA_NA_사령관"
640,현영철,2901,"2012. 7 인민군 총참모장, 인민군 차수, 당 중앙군사위원회 부위원장",2012,7,1,Joint,"인민군 총참모부",NA,NA,NA,NA,총참모장,1,1,"인민군 총참모부_NA_NA_NA_총참모장"
670,김윤심,3105,"1991. 7 서해함대사령관",1991,7,1,NULL,"인민군 총참모부",해군사령부,서해함대사령부,NA,NA,사령관,3,1,"인민군 총참모부_해군사령부_서해함대사령부_NA_사령관"
670,김윤심,3107,"1997. 6 해군사령관",1997,6,1,NULL,"인민군 총참모부",해군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_해군사령부_NA_NA_사령관"
697,방철갑,3265,"1973. 5 해군사령관(소장)",1973,5,1,Joint,"인민군 총참모부",해군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_해군사령부_NA_NA_사령관"
715,리봉죽,3391,"1997. 6 인민군 총참모부 부총참모장",1997,6,1,NULL,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
