LeaderID,EducationDateString_2022,EducationSchoolString_2022,EducationMajorString_2022,EducationGraduationStatus_2022,MOUID_2015,Name_2015,EducationString_2015,SchoolYear_2015,SchoolName_2015,SchoolLevel_2015,SchoolRegion_2015,SchoolStringConcat_2015
김일성,1926,화성의숙(전현) 전학,,미상,248,김일성,"1927. 만주 길림 육문중 수학(중퇴), 공산청년동맹 가입",1927,육문중학교,고등중학교,북한,1927_육문중학교_고등중학교_북한
김일성,1925,만주 무송 제1소학교 전학,,미상,248,김일성,1923. 2 창덕학교 입학,1923,창덕학교,인민학교,북한,1923_창덕학교_인민학교_북한
김일성,1925,만주 무송 제1소학교 전학,,미상,248,김일성,1925. 만주 무송 제1소학교 전학,1925,제1소학교,인민학교,북한,1925_제1소학교_인민학교_북한
김일성,1925,만주 무송 제1소학교 전학,,미상,248,김일성,1926. 화성의숙(전현) 전학,1926,화성의숙,고등중학교,만주,1926_화성의숙_고등중학교_만주
김일성,1925,만주 무송 제1소학교 전학,,미상,248,김일성,"1927. 만주 길림 육문중 수학(중퇴), 공산청년동맹 가입",1927,육문중학교,고등중학교,북한,1927_육문중학교_고등중학교_북한
김일성,1923.02,창덕학교,,미상,248,김일성,1923. 2 창덕학교 입학,1923,창덕학교,인민학교,북한,1923_창덕학교_인민학교_북한
김일성,1923.02,창덕학교,,미상,248,김일성,1925. 만주 무송 제1소학교 전학,1925,제1소학교,인민학교,북한,1925_제1소학교_인민학교_북한
김일성,1923.02,창덕학교,,미상,248,김일성,1926. 화성의숙(전현) 전학,1926,화성의숙,고등중학교,만주,1926_화성의숙_고등중학교_만주
김일성,1923.02,창덕학교,,미상,248,김일성,"1927. 만주 길림 육문중 수학(중퇴), 공산청년동맹 가입",1927,육문중학교,고등중학교,북한,1927_육문중학교_고등중학교_북한
김일철a,1962,소련해군학,,미상,262,김일철,1948. 훈련소 졸업후 원산기지 해군함정 부중대장 임관,1948,,특수학교,,
김일철a,1962,소련해군학,,미상,262,김일철,1958. 해군대학 졸업,1958,해군대학교,대학교,러시아,1958_해군대학교_대학교_러시아
김일철a,1962,소련해군학,,미상,262,김일철,1962. 소련 해군대학 유학,1962,해군대학교,대학교,러시아,1962_해군대학교_대학교_러시아
김일철a,1962,소련해군학,,미상,262,김일철,연도미상 만경대혁명학원 졸업,,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김일철a,연도미상 ~ 1959,해군대학,,미상,262,김일철,1948. 훈련소 졸업후 원산기지 해군함정 부중대장 임관,1948,,특수학교,,
김일철a,연도미상 ~ 1959,해군대학,,미상,262,김일철,1958. 해군대학 졸업,1958,해군대학교,대학교,러시아,1958_해군대학교_대학교_러시아
